RT_category	SampleTypev2	KEGG_category_name	KEGG_subcategory_name	KEGG_pathway_name	KO	description	gene_mean	nSampleTypes
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	Bacterial secretion system	K11906	type VI secretion system protein VasD	2.5934584875598087e-5	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa	K11907	type VI secretion system protein VasG	8.672894127751196e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	Bacterial secretion system	K11907	type VI secretion system protein VasG	8.672894127751196e-5	418
Intermediate RT	Tongue_dorsum	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	K11927	ATP-dependent RNA helicase RhlE	6.611636306937799e-5	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli	K11931	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	1.5922566076555025e-6	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli	K11936	poly-beta-1,6-N-acetyl-D-glucosamine synthase	9.211467277033493e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis	K11936	poly-beta-1,6-N-acetyl-D-glucosamine synthase	9.211467277033493e-5	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli	K11937	biofilm PGA synthesis protein PgaD	6.472767677033493e-6	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis	K11937	biofilm PGA synthesis protein PgaD	6.472767677033493e-6	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K11958	neutral amino acid transport system ATP-binding protein	0	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K11959	urea transport system substrate-binding protein	1.4755526315789472e-7	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K11960	urea transport system permease protein	1.3394856459330143e-7	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K11961	urea transport system permease protein	1.530292081339713e-7	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K11962	urea transport system ATP-binding protein	1.360281913875598e-7	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K11963	urea transport system ATP-binding protein	5.821650717703349e-8	418
Intermediate RT	Tongue_dorsum	Metabolism	Carbohydrate metabolism	Galactose metabolism	K12111	evolved beta-galactosidase subunit alpha	4.288052301913876e-6	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	K12111	evolved beta-galactosidase subunit alpha	4.288052301913876e-6	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	K12152	phosphatase NudJ	1.3487724880382775e-7	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism	K12235	serine racemase	0	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of other amino acids	D-Amino acid metabolism	K12235	serine racemase	0	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K12238	salicylate---[aryl-carrier protein] ligase	2.7043686602870813e-8	418
